Time                          Song // Artist
2020-06-22 21:28:38.769787    Castle on the Hill // Ed Sheeran
2020-06-22 21:28:47.949539    Castle on the Hill // Ed Sheeran
2020-06-23 00:04:29.476552    I'm Yours // Jason Mraz
2020-06-23 00:07:52.184343    I'm Yours // Jason Mraz
2020-06-23 00:43:52.230140    Come On Get Higher // Matt Nathanson
2020-06-23 00:43:59.816736    Come On Get Higher // Matt Nathanson
2020-06-23 00:44:27.011769    Come On Get Higher // Matt Nathanson
2020-06-23 22:07:20.473190    Introducing Me // Nick Jonas
2020-06-23 22:07:31.190002    Introducing Me // Nick Jonas
2020-06-23 22:08:39.916043    Introducing Me // Nick Jonas
2020-06-23 22:08:51.043660    Introducing Me // Nick Jonas
2020-06-23 22:16:25.427955    Honey // Kehlani
2020-06-23 22:16:34.780856    Honey // Kehlani
2020-06-23 22:17:13.553446    my way // mxmtoon
2020-06-23 23:16:31.683987    Some // Bolbbalgan4
2020-06-23 23:17:55.585346    Lucky // Jason Mraz
2020-06-23 23:28:46.639380    Hey, Soul Sister // Train
2020-06-23 23:29:29.582663    Best Thing I Got // Sabrina Carpenter
2020-06-23 23:32:19.493079    Gentleman (Radio Edit) // Will Jay
2020-06-23 23:33:09.764357    Electric Love // BRNS
2020-06-23 23:34:27.217259    Be Kind (with Halsey) // Marshmello
2020-06-23 23:36:17.801087    Flare Guns // Quinn XCII
2020-06-24 00:02:13.558676    Better Days // OneRepublic
2020-06-24 00:05:17.546326    Take on the World // You Me At Six
2020-06-24 00:08:15.641573    Didn't I // OneRepublic
2020-06-24 00:08:51.459669    Love Is Gone - Acoustic // SLANDER
2020-06-24 00:14:50.922038    I Want You Anyway // Jon McLaughlin
2020-06-24 00:15:59.537536    Wish I Never Met You // Loote
2020-06-24 00:16:02.727089    First Time (feat. Dylan Matthew) - Acoustic // Seven Lions
2020-06-24 00:16:07.022832    Oceans Between Us // The Icarus Account
2020-06-24 00:16:11.337510    If the World Was Ending - feat. Julia Michaels // JP Saxe
2020-06-24 00:16:13.466176    Let's Fall in Love for the Night // FINNEAS
2020-06-24 00:16:16.656430    Rescue Me // OneRepublic
2020-06-24 00:16:17.729602    Nights Like These // Will Jay
